word,def
the,这个；那个；河流；不言而喻的某事物;此；指已提到或易领会到的人或事物;定冠词；这些；表示一类人
be,有；等同；存在；提供名称或信息时用;到场；位于；在某处；在某时或某地发生;与过去分词连用构成被动语态；与现在分词连用构成进行时;=英国英格兰银行;是；铍；比利时
and,与；和；而；又;附加条件；附加细节;并且；而且；及
of,关于；属于某人；关于某人；属于某物;=古法语;的；溢位旗标；表示所属
a,一;英文字母表的第一字母；乐音;冠以不定冠词主要表示类别;从；按；一个
in,参与；参加；穿着；进入;进入；在内；上涨；在里面;执政党；〈美口〉入口；门路；提携;流行的；时髦的;=化铟;在里面；输入端；用
to,到；向；至；对于;应该；必须；表示目的或意图；表示结果;关着；关闭；关上;收件人；给；往
have,有；吃；让；得到;有钱人；天然资源多的富国；诈骗;与过去分词连用构成完成时;拥有；具有；现在完成时
to,到；向；至；对于;应该；必须；表示目的或意图；表示结果;关着；关闭；关上;收件人；给；往
it,恰好；指提到过的或正在谈论的动物或事物它；尤指性别不详者;笨蛋；理想的东西；登峰造极；〈口〉性的魅力;信息技术；资讯科技；意大利
I,我;英语字母表的第9个字母；罗马数字1;岛群岛;个人；余；自我
that,那；那个；那样的;那个；那些；指已提到过或已知的人或事物那；引导从句;那个；那么；指已提到过或已知的人或事物那；不很;引出从句；表示结果如此以致；表示希望或愿望多么;那种；这个；那场
for,对；因为；为了；由于;因为；由于;给；命令及变量；循环
you,你；您；你们；大家;尤；是你；你是
he,他；它指雄性动物;化元素氦的符号;雄性；雄性动物;嘻;氦；贺；彼
with,用；和；有；具有;和一起；带有；以
on,对；在；根据；使用;值班；表示持续性；向前移动；穿在身上;在进行；在发生；在活动；通着;板打球人的左边;开；在上；接通
do,做；进行；完成；做出;用于实义动词前构成否定句和疑问句；构成附加疑问句;社交聚会；社交活动;溶解氧；执行；行动
say,说；告诉；讲；表达;发言权；决定权;啧啧；我说;说话；念；比如说
this,这；这里；这时；前述二物中的后者;这；即将来到的；今;这个；本；这样；这么;这场；此；这位
they,他们；它们；她们；众人;人们；噩梦缠身；鬼物
at,朝；向；在某处；在表示学习或工作地点;=化=;自动变速箱；奥地利；砹
but,而；然而；只有；尽管如此;除了；除之外;只有；仅仅;借口；托辞;对某人讲但是以示反对拒绝等;可是；不过；而是
we,我们；咱们；人们;世界精英；是我们；我们的
his,他的；用于名词前；自己的；各自的;他的；上帝的；属于上帝的;他的;医院信息系统；医院信息管理系统；组氨酸
from,从；来自；由；表示时间;从起；由于；从到
that,那；那个；那样的;那个；那些；指已提到过或已知的人或事物那；引导从句;那个；那么；指已提到过或已知的人或事物那；不很;引出从句；表示结果如此以致；表示希望或愿望多么;那种；这个；那场
not,不；不是；没有；〈口〉不要;非；逻辑非；不是的
n''t,中子射线照相；澜渊；温度
by,按照；经过；依；靠近;经过；表示保留或保存时用；短暂拜访;〈美〉同;乘；被；由
she,她；它；船或车等;〈口〉女性；雌性动物;佘；就是她；伊
or,或者；否则；不然；用于否定句提出两种或多种事物时也不;纹章黑金色;比更早;还是；或是；手术室
as,作为；像；当作；如同;随着；正如；因为；由于;如同；指事情以同样的方式发生和一样;的复数；阿斯;砷；动脉粥样硬化；强直性脊柱炎
what,什么；多么；真；的事物;什么；多少；关系形容词;多少;同;什麽；做什么；是什么
go,去；走；离开；离去;干劲；活力；游戏或活动中轮到的机会；做某事的尝试;好的；〈美口〉一切正常的；宇可随时发射的;=军一般命令；卫兵守则;变成;赛跑口令跑;围棋；行走；前进
their,他们的；她们的；它们的；在提及性别不详的人时;代指之前已经提到的或指向非常明显的一群人或事物的;一朵诡异的花；物主代词
can,能；行；难道会；可能;会；得；难道会；表示知道如何做懂得;盛食品或饮料的金属罐；一罐的量；塑料容器；喷雾罐;把食品装罐保存；解雇；让卷铺盖走人；炒的鱿鱼;控制器局域网；能够；可以
who,询问姓名身份或职务谁；表示所指的人;=世界卫生组织联合国;组世界卫生组织;世界卫生组织；世卫组织；何人
get,得到；获得；使；收到;赢利；薪资；牧幼畜；煤炭产量;处于;拿到；获取；到达
if,如果；当；倘若；假若;不确定的情况;假如；条件；是否
would,会；愿意；大概；常;就；将会；老是；带出想象的结果;将要；的用法；打算
her,她；一艘船;她的；属于她的；指国家的；一艘船的;她的;析氢反应；是物主代词；爱玛
all,一切；全部；大家；全都;一切；全；整个；全体;都；全部；全身；那么;一切；全部；全体;所有；所有的；全部的
my,哎呀；表示惊讶;我的；表示吃惊等；表示亲切；对下级的称呼;=马来西亚;;;的所有格形式;马来西亚；关於我；买
make,成为；适合；合计；等于;制造；做；组装；写;型号;制作；使；使得
about,关于；左右；大概；涉及;大约；左右；将要；到处;即将的;关于我们；关於；简介
know,知道；知悉；了解；认识到;〈口〉知晓;懂得；明白；通晓
will,谈及将来；要；烦劳别人做事时用；命令时用;意志；毅力；自制力；意愿;想要；希望；愿意；喜欢;威尔；遗嘱；将要
as,作为；像；当作；如同;随着；正如；因为；由于;如同；指事情以同样的方式发生和一样;的复数；阿斯;砷；动脉粥样硬化；强直性脊柱炎
up,起床；向上；出现；到;沿着；向；顺着；向上游;激动；向上的；往上移动的；高兴;上面；高处；上坡路；繁荣;突然移动；突然做意想不到的事；提高的价格或数量;飞屋环游记；起来；不饱和聚酯
one,一；同一个;一个人；一体；独一；一岁;人们；用来避免重复已提过的或是听者已知的事物的名称;某一个人；一致的；同一的；不变的;壹；唯一；一人
time,时间；时候；次；时代;计时；为安排时间；选择的时机；测定所需的时间;时代周刊；时代杂志；时光
there,那里;在那里；表示存在或发生；到那里；往那里;好啦;那儿；在那儿；那边
year,年；年度；年级；年龄;年份；一年；年代
so,所以；以便；引出结果因此；引出下文;那么；如此；很；就;好；别动；别吵；停住;左右；;乐同；女名女子名;这么；这样；苏
think,认为；以为；想；思考;想法；念头；〈方口〉思考;思想方面的；供思考的;考虑；思索；想起
when,什么时候；何时；当时；什么情况下;什么时候；何时;时候;既然；虽然；可是；在时候;时间；何时做；当的时候
which,哪个；那；哪一个；的那些;哪些；哪一些；那一个
them,他们；它们；她们；指性别不详的人时;非标准用法;他们的宾格；恐怖系统
some,有些；若干；部分；有的;若干；部分；有点；好些;几分的；〔用于数词前〕大约;一些；某些；某一
me,我;大调音阶的第3音;么；代谢能；缅因州
people,人；人们；人民；百姓;居住在；把挤满人；住满居民;人物；人员；民族
take,拿；需要；接受；吃;镜头；收入额；进项；看法;拿走；取；拿取
out,出去；外出；离开；出于;出路；回避的方法；托辞;〈美〉通过门窗等而出；〈美口〉沿着而去;已公开同性恋身份的;〈古〉表示愤慨谴责等;揭露;输出；开出；出局
into,进入；向；朝；关于;到里；向内；变成
just,只是；就；仅仅；刚才;公正的；正义的；正当的；合理的;正直的人；公正的人;刚刚；正好；恰好
see,看；参见；看见；见到;主教或大主教教区；主教或大主教权限；牧座;看到；看出；明白
him,他；指上帝;罗仲谦；祂；恶魔殿下
your,你的；您的；你们的；泛指大家的;你们的；大家都很知道的;称别人的事物；物主代词
come,来；来到；发生；成为;精液；精子;得啦;提及的时间到来;来吧；过来；前来
could,可以；用于的过去式；礼貌地请求别人做事能;想；的过去式；用于假设语气的条件句；用于虚拟语气的结论句;能够；可能；会
